,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,POSS
80,Bruce Brown,BKN,24,65,45,20,22.3,115.9,112.4,3.5,9.9,1.93,16.4,8.1,15.4,12.0,8.5,57.6,60.4,15.7,100.24,9.8,"3,016"
81,Daniel Theis,CHI,29,65,28,37,24.6,109.4,110.8,-1.3,9.7,1.64,15.7,5.7,16.4,11.0,9.6,59.3,60.9,15.4,99.75,9.5,"3,333"
82,Facundo Campazzo,DEN,30,65,43,22,21.9,111.6,108.8,2.8,21.5,3.18,35.3,1.5,8.1,4.7,11.1,50.2,55.8,12.8,99.09,7.4,"2,940"
83,Matisse Thybulle,PHI,24,65,46,19,20.0,109.3,104.7,4.6,6.4,1.97,18.3,2.3,7.0,4.7,9.3,50.8,50.8,9.0,101.86,5.3,"2,741"
84,Reggie Bullock,NYK,30,65,38,27,30.0,109.7,107.2,2.5,7.2,2.20,13.8,0.8,10.2,5.6,6.3,58.7,60.6,14.0,97.29,7.4,"3,955"
85,Russell Westbrook,WAS,32,65,30,35,36.4,109.2,110.4,-1.2,47.7,2.45,30.6,4.3,24.9,14.7,12.5,47.4,50.9,29.5,107.18,16.4,"5,279"
86,Talen Horton-Tucker,LAL,20,65,39,26,20.1,105.8,104.7,1.0,20.9,1.72,21.9,1.9,10.4,6.3,12.7,49.6,53.6,21.0,100.77,9.4,"2,731"
87,Theo Maledon,OKC,19,65,20,45,27.3,97.2,113.6,-16.5,19.7,1.61,21.8,1.2,10.1,5.5,13.6,45.4,48.9,18.8,103.27,6.3,"3,829"
88,Alex Len,WAS,27,64,30,34,15.3,106.9,111.0,-4.0,6.9,0.89,11.3,7.7,17.4,12.6,12.6,62.9,64.3,16.1,106.79,9.7,"2,173"
89,Anfernee Simons,POR,21,64,37,27,17.3,115.2,114.4,0.8,11.7,2.07,15.9,1.2,10.9,5.9,7.7,56.9,58.9,18.0,98.83,7.9,"2,284"
90,Bam Adebayo,MIA,23,64,34,30,33.5,110.2,109.6,0.6,26.7,2.05,23.6,7.0,20.4,13.9,11.5,57.1,62.6,23.3,97.71,16.1,"4,361"
91,Garrison Mathews,WAS,24,64,32,32,16.2,107.7,113.4,-5.6,3.2,2.60,8.4,1.5,6.5,4.0,3.2,57.0,63.5,11.1,106.43,5.2,"2,299"
92,Immanuel Quickley,NYK,21,64,37,27,19.4,111.6,104.5,7.1,16.4,2.19,15.3,2.0,8.6,5.4,7.0,49.7,55.7,24.6,97.18,10.3,"2,519"
93,Jarred Vanderbilt,MIN,22,64,18,46,17.8,108.1,109.2,-1.1,9.1,1.43,18.6,9.6,21.1,15.3,13.0,60.8,61.2,11.8,103.75,10.7,"2,451"
94,Jayson Tatum,BOS,23,64,34,30,35.8,114.8,111.8,3.0,19.6,1.61,14.5,2.1,18.8,10.2,9.0,53.0,57.6,29.8,99.74,15.2,"4,767"
95,Nerlens Noel,NYK,27,64,35,29,24.2,109.2,108.5,0.7,4.1,0.71,12.6,9.4,16.4,13.0,17.8,61.4,63.8,9.2,96.74,8.2,"3,106"
96,P.J. Washington,CHA,22,64,31,33,30.5,110.4,109.8,0.6,12.0,1.26,15.5,4.5,16.3,10.3,12.3,52.2,54.9,19.1,100.16,8.9,"4,081"
97,Raul Neto,WAS,29,64,30,34,21.9,109.3,110.3,-1.0,14.1,2.75,21.3,1.9,8.7,5.3,7.7,53.9,57.5,15.5,106.03,8.6,"3,104"
98,Andre Iguodala,MIA,37,63,37,26,21.3,105.6,108.1,-2.5,15.3,2.12,30.0,3.0,13.4,8.3,14.1,50.4,51.9,10.9,97.82,7.2,"2,722"
99,Clint Capela,ATL,27,63,34,29,30.1,114.8,108.2,6.6,3.9,0.67,5.3,15.5,30.1,23.0,8.0,59.4,60.1,19.3,99.41,15.8,"3,927"
100,Cory Joseph,DET,29,63,25,38,23.0,109.8,115.3,-5.5,20.4,2.70,28.2,2.4,8.5,5.5,10.4,52.2,55.6,15.9,100.79,7.9,"3,024"
101,Dean Wade,CLE,24,63,19,44,19.2,102.9,111.9,-9.0,9.4,2.47,17.2,3.1,15.4,9.0,7.0,55.6,57.3,12.8,99.06,8.2,"2,503"
102,Delon Wright,SAC,29,63,21,42,27.7,108.3,111.8,-3.5,23.7,3.35,29.7,3.6,12.2,7.7,8.9,52.5,56.2,16.3,98.91,11.5,"3,610"
103,Draymond Green,GSW,31,63,35,28,31.5,114.8,109.3,5.4,34.5,2.97,48.0,2.8,18.4,11.0,16.2,49.2,53.0,12.8,104.21,10.7,"4,305"
104,Elfrid Payton,NYK,27,63,36,27,23.6,107.8,110.8,-3.0,20.9,1.97,20.9,4.1,9.8,6.9,10.6,45.5,47.8,22.4,97.30,7.9,"3,006"
105,Grant Williams,BOS,22,63,30,33,18.1,107.4,109.3,-1.9,7.9,1.14,16.4,4.0,11.3,7.6,14.4,53.4,54.6,12.0,101.01,4.0,"2,393"
106,Ja Morant,MEM,21,63,33,30,32.6,114.7,112.1,2.6,32.1,2.29,25.9,2.7,9.1,5.9,11.3,48.7,53.7,26.7,102.16,11.3,"4,366"
