,Match Up_x,Game Date_x,Season_x,W/L_x,MIN_x,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Match Up_y,Game Date_y,Season_y,W/L_y,MIN_y,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
1164,NYK @ DET,02/28/2021,,W,48,109,44,86,51.2,13,26,50.0,8,10,80.0,6,35,41,23,12,9,7,23,19,SAC vs. CHA,02/28/2021,,L,48,127.3,128.3,-1.0,64.0,3.20,22.5,26.1,66.7,44.7,10.1,63.0,63.3,99.00,48.7
1165,MEM @ HOU,02/28/2021,,W,48,133,50,94,53.2,10,30,33.3,23,28,82.1,11,45,56,27,18,16,3,31,49,MEM @ HOU,02/28/2021,,W,48,119.8,76.4,43.5,54.0,1.50,17.6,34.8,78.5,60.4,16.2,58.5,62.5,110.50,85.5
1166,LAC @ MIL,02/28/2021,,L,48,100,40,97,41.2,14,44,31.8,6,7,85.7,13,36,49,20,10,7,3,19,-5,CHA @ SAC,02/28/2021,,W,48,128.3,127.3,1.0,66.7,1.88,21.4,33.3,73.9,55.3,16.2,60.8,66.9,99.00,51.3
1167,LAL vs. GSW,02/28/2021,,W,48,117,40,85,47.1,11,31,35.5,26,38,68.4,14,46,60,22,20,14,6,21,26,PHX @ MIN,02/28/2021,,W,48,111.3,93.4,17.9,61.4,1.69,18.9,22.2,71.2,50.0,15.1,53.4,59.3,106.00,61.4
1168,WAS @ BOS,02/28/2021,,L,48,110,38,84,45.2,9,32,28.1,25,29,86.2,7,29,36,16,14,10,5,22,-1,BOS vs. WAS,02/28/2021,,W,48,107.8,107.8,-0.1,59.5,1.32,17.0,38.0,80.9,58.8,18.4,52.8,55.7,102.50,50.7
1169,HOU vs. MEM,02/28/2021,,L,48,84,23,83,27.7,4,45,8.9,34,41,82.9,12,26,38,10,23,7,6,24,-49,WAS @ BOS,02/28/2021,,L,48,107.8,107.8,0.1,42.1,1.14,12.6,19.1,62.0,41.2,13.7,50.6,56.8,102.50,49.3
1170,MIL vs. LAC,02/28/2021,,W,48,105,38,85,44.7,12,38,31.6,17,22,77.3,8,40,48,21,12,7,5,11,5,MIL vs. LAC,02/28/2021,,W,48,109.4,103.1,6.3,55.3,1.75,16.5,22.4,71.9,49.1,12.5,51.8,55.4,96.50,55.4
1171,BOS vs. WAS,02/28/2021,,W,48,111,42,89,47.2,10,30,33.3,17,24,70.8,13,36,49,25,19,7,0,25,1,NYK @ DET,02/28/2021,,W,48,114.7,94.7,20.0,52.3,1.92,18.3,18.6,80.9,51.1,12.6,58.7,60.3,95.00,59.1
1172,SAC vs. CHA,02/28/2021,,L,48,126,50,92,54.3,16,36,44.4,10,17,58.8,9,24,33,32,10,6,2,19,-1,MIA vs. ATL,02/28/2021,,W,48,113.5,102.1,11.5,69.2,1.93,19.6,31.3,64.8,49.0,14.6,51.7,57.0,96.50,54.5
1173,MIN vs. PHX,02/28/2021,,L,48,99,35,93,37.6,8,35,22.9,21,24,87.5,10,34,44,21,16,12,4,22,-19,LAL vs. GSW,02/28/2021,,W,48,108.3,84.3,24.1,55.0,1.10,15.2,29.4,89.1,60.4,18.5,53.5,57.5,108.00,64.7
1174,NOP @ SAS,02/27/2021,,L,48,114,40,91,44.0,9,32,28.1,25,31,80.6,17,35,52,27,10,3,2,17,-3,SAS vs. NOP,02/27/2021,,W,48,120.6,118.8,1.9,58.5,2.67,18.2,25.0,64.8,46.1,9.3,54.7,59.5,96.50,48.8
1175,PHI vs. CLE,02/27/2021,,L,53,109,38,83,45.8,10,28,35.7,23,35,65.7,8,38,46,25,19,9,10,26,-3,UTA @ ORL,02/27/2021,,W,48,127.8,113.5,14.3,64.4,2.42,20.9,29.5,84.9,59.8,12.4,62.9,64.9,96.50,56.1
1176,IND @ NYK,02/27/2021,,L,48,107,38,84,45.2,11,28,39.3,20,25,80.0,6,29,35,27,16,5,7,17,-3,PHI vs. CLE,02/27/2021,,L,53,99.1,101.8,-2.7,65.8,1.32,17.0,23.5,66.7,46.8,17.3,51.8,55.4,99.62,49.7
1177,SAS vs. NOP,02/27/2021,,W,48,117,41,86,47.7,12,32,37.5,23,28,82.1,8,30,38,24,9,7,5,26,3,IND @ NYK,02/27/2021,,L,48,103.9,108.9,-5.0,71.1,1.69,19.1,22.0,76.2,46.7,15.5,51.8,56.3,102.00,48.3
1178,MIN @ WAS,02/27/2021,,L,48,112,41,95,43.2,11,35,31.4,19,29,65.5,12,38,50,23,18,9,10,29,-16,ORL vs. UTA,02/27/2021,,L,48,113.5,127.8,-14.3,61.4,6.75,20.6,15.1,70.5,40.2,4.2,53.1,54.8,96.50,43.9
1179,NYK vs. IND,02/27/2021,,W,48,110,40,81,49.4,12,24,50.0,18,22,81.8,4,34,38,26,21,12,2,22,3,BKN vs. DAL,02/27/2021,,L,48,102.1,122.3,-20.3,60.0,1.11,15.6,37.0,83.7,57.7,19.8,48.8,51.9,95.00,39.3
1180,DEN @ OKC,02/27/2021,,W,48,126,49,89,55.1,15,31,48.4,13,16,81.3,6,43,49,30,13,6,3,16,30,CLE @ PHI,02/27/2021,,W,53,101.8,99.1,2.7,58.5,1.41,15.6,33.3,76.5,53.2,15.5,46.4,51.0,99.62,50.3
1181,ORL vs. UTA,02/27/2021,,L,48,109,44,96,45.8,14,34,41.2,7,8,87.5,7,30,37,27,4,6,3,18,-15,DAL @ BKN,02/27/2021,,W,48,122.3,102.1,20.3,51.1,2.56,18.5,16.3,63.0,42.3,9.6,60.5,61.5,95.00,60.7
1182,DAL @ BKN,02/27/2021,,W,48,115,45,86,52.3,14,36,38.9,11,17,64.7,6,30,36,23,9,12,8,15,17,DEN @ OKC,02/27/2021,,W,48,123.5,95.0,28.5,61.2,2.31,21.3,23.8,81.5,56.3,12.7,63.5,65.6,101.50,63.7
1183,WAS vs. MIN,02/27/2021,,W,48,128,44,98,44.9,13,33,39.4,27,34,79.4,15,42,57,27,16,6,6,24,16,NYK vs. IND,02/27/2021,,W,48,108.9,103.9,5.0,65.0,1.24,19.0,23.8,78.0,53.3,20.8,56.8,60.7,102.00,51.7
1184,CLE @ PHI,02/27/2021,,W,53,112,41,97,42.3,8,24,33.3,22,29,75.9,13,39,52,24,17,12,3,26,3,OKC vs. DEN,02/27/2021,,L,48,95.0,123.5,-28.5,64.9,1.71,17.9,18.5,76.2,43.8,13.9,48.3,50.7,101.50,36.3
1185,UTA @ ORL,02/27/2021,,W,48,124,45,85,52.9,17,45,37.8,17,24,70.8,10,42,52,29,12,2,3,14,15,NOP @ SAS,02/27/2021,,L,48,118.8,120.6,-1.9,67.5,2.70,19.0,35.2,75.0,53.9,10.4,48.9,54.5,96.50,51.2
1186,OKC vs. DEN,02/27/2021,,L,48,96,37,88,42.0,11,47,23.4,11,15,73.3,7,30,37,24,14,7,6,16,-30,MIN @ WAS,02/27/2021,,L,48,100.0,114.3,-14.3,56.1,1.28,15.4,23.0,67.2,44.5,16.1,48.9,52.0,112.00,42.2
1187,BKN vs. DAL,02/27/2021,,L,48,98,35,86,40.7,14,44,31.8,14,19,73.7,14,33,47,21,19,5,4,16,-17,WAS vs. MIN,02/27/2021,,W,48,114.3,100.0,14.3,61.4,1.69,17.2,32.8,77.0,55.5,14.3,51.5,56.7,112.00,57.8
1188,GSW vs. CHA,02/26/2021,,W,48,130,48,79,60.8,11,24,45.8,23,25,92.0,4,33,37,38,25,10,3,19,9,MEM vs. LAC,02/26/2021,,L,48,100.0,119.0,-19.0,61.5,2.67,17.5,23.7,83.3,46.3,9.1,44.8,47.6,99.50,38.1
1189,MEM vs. LAC,02/26/2021,,L,48,99,39,97,40.2,9,28,32.1,12,16,75.0,8,29,37,24,9,10,4,14,-20,ATL @ OKC,02/26/2021,,L,48,113.5,121.6,-8.1,48.8,1.91,15.2,36.8,78.3,55.3,11.5,50.5,52.2,96.50,45.7
1190,UTA @ MIA,02/26/2021,,L,48,116,40,94,42.6,15,46,32.6,21,23,91.3,9,27,36,24,9,9,3,21,-8,LAL vs. POR,02/26/2021,,W,48,107.4,98.9,8.4,67.6,2.50,18.1,32.7,73.1,52.3,10.5,46.0,50.8,94.50,57.2
1191,MIA vs. UTA,02/26/2021,,W,48,124,44,86,51.2,14,31,45.2,22,25,88.0,11,39,50,24,15,5,1,21,8,TOR vs. HOU,02/26/2021,,W,48,122.0,112.1,9.9,72.5,2.23,20.1,32.7,75.5,54.9,13.0,53.9,60.5,99.50,58.9
1192,HOU @ TOR,02/26/2021,,L,48,111,39,91,42.9,16,47,34.0,17,20,85.0,7,30,37,23,11,4,5,24,-11,GSW vs. CHA,02/26/2021,,W,48,116.1,108.0,8.0,79.2,1.52,24.4,18.2,69.2,49.4,22.3,67.7,72.2,112.00,60.7
1193,LAL vs. POR,02/26/2021,,W,48,102,37,88,42.0,7,27,25.9,21,28,75.0,15,37,52,25,10,9,7,23,9,UTA @ MIA,02/26/2021,,L,48,113.7,122.8,-9.0,60.0,2.67,17.3,25.5,72.1,45.9,8.8,50.5,55.7,101.50,45.1
1194,SAC @ DET,02/26/2021,,W,48,110,37,89,41.6,7,32,21.9,29,41,70.7,14,35,49,24,11,5,6,25,3,IND @ BOS,02/26/2021,,L,48,113.1,119.2,-6.1,74.3,2.89,18.7,25.9,74.4,47.4,9.1,47.8,55.0,99.00,46.3
1195,DET vs. SAC,02/26/2021,,L,48,107,37,82,45.1,12,33,36.4,21,32,65.6,10,35,45,20,11,6,6,25,-3,LAC @ MEM,02/26/2021,,W,48,119.0,100.0,19.0,77.3,2.00,24.3,16.7,76.3,53.7,17.0,63.8,67.7,99.50,61.9
1196,PHX @ CHI,02/26/2021,,W,48,106,44,88,50.0,6,22,27.3,12,15,80.0,3,27,30,35,7,11,4,11,9,BOS vs. IND,02/26/2021,,W,48,119.2,113.1,6.1,57.1,2.00,18.2,25.6,74.1,52.6,12.1,56.7,62.3,99.00,53.7
1197,ATL @ OKC,02/26/2021,,L,48,109,43,97,44.3,12,40,30.0,11,17,64.7,19,35,54,21,11,6,5,13,-9,POR @ LAL,02/26/2021,,L,48,98.9,107.4,-8.4,59.4,1.19,15.0,26.9,67.3,47.7,17.0,45.2,50.7,94.50,42.8
1198,IND @ BOS,02/26/2021,,L,48,112,35,89,39.3,15,46,32.6,27,29,93.1,8,32,40,26,9,8,6,22,-6,MIA vs. UTA,02/26/2021,,W,48,122.8,113.7,9.0,54.5,1.60,17.5,27.9,74.5,54.1,14.9,59.3,63.9,101.50,54.9
1199,LAC @ MEM,02/26/2021,,W,48,119,44,80,55.0,14,35,40.0,17,18,94.4,4,43,47,34,17,6,8,19,20,CHI vs. PHX,02/26/2021,,L,48,102.1,110.4,-8.3,64.1,1.32,19.7,17.9,84.8,54.1,20.0,57.7,58.9,95.50,42.5
1200,OKC vs. ATL,02/26/2021,,W,48,118,46,88,52.3,16,42,38.1,10,16,62.5,5,34,39,31,10,6,2,17,9,DET vs. SAC,02/26/2021,,L,48,108.1,111.1,-3.0,54.1,1.82,15.4,21.2,63.8,43.6,11.1,52.4,55.7,99.00,50.0
1201,CHI vs. PHX,02/26/2021,,L,48,97,39,78,50.0,12,31,38.7,7,10,70.0,6,35,41,25,19,2,4,16,-9,HOU @ TOR,02/26/2021,,L,48,112.1,122.0,-9.9,59.0,2.09,17.2,24.5,67.3,45.1,11.1,51.6,55.6,99.50,41.1
1202,CHA @ GSW,02/26/2021,,L,48,121,41,89,46.1,17,41,41.5,22,32,68.8,13,25,38,27,21,11,1,23,-9,PHX @ CHI,02/26/2021,,W,48,110.4,102.1,8.3,79.5,5.00,25.7,15.2,82.1,45.9,7.3,53.4,56.0,95.50,57.5
1203,TOR vs. HOU,02/26/2021,,W,48,122,40,89,44.9,16,41,39.0,26,27,96.3,11,37,48,29,13,6,8,20,11,SAC @ DET,02/26/2021,,W,48,111.1,108.1,3.0,64.9,2.18,16.7,36.2,78.8,56.4,11.1,45.5,51.4,99.00,50.0
1204,POR @ LAL,02/26/2021,,L,48,93,32,83,38.6,11,37,29.7,18,20,90.0,10,35,45,19,16,5,5,21,-9,CHA @ GSW,02/26/2021,,L,48,108.0,116.1,-8.0,65.9,1.29,17.4,30.8,81.8,50.6,18.8,55.6,58.7,112.00,39.3
1205,BOS vs. IND,02/26/2021,,W,48,118,42,82,51.2,9,22,40.9,25,29,86.2,7,38,45,24,12,3,6,20,6,OKC vs. ATL,02/26/2021,,W,48,121.6,113.5,8.1,67.4,3.10,22.5,21.7,63.2,44.7,10.3,61.4,62.1,96.50,54.3
1206,WAS @ DEN,02/25/2021,,W,48,112,41,86,47.7,8,26,30.8,22,25,88.0,10,32,42,24,11,9,2,20,2,ORL @ BKN,02/25/2021,,L,48,88.5,124.0,-35.6,54.3,1.06,14.6,13.2,79.1,42.7,17.3,45.4,49.1,104.00,33.3
1207,NYK vs. SAC,02/25/2021,,W,48,140,51,87,58.6,19,36,52.8,19,21,90.5,9,34,43,24,16,8,2,23,19,MIL vs. NOP,02/25/2021,,W,48,125.2,121.4,3.9,40.4,2.33,15.8,23.4,69.8,48.0,8.7,60.9,62.6,103.00,50.4
1208,NOP @ MIL,02/25/2021,,L,48,125,51,102,50.0,13,39,33.3,10,14,71.4,12,35,47,32,9,5,4,17,-4,WAS @ DEN,02/25/2021,,W,48,113.1,110.0,3.1,58.5,2.18,17.9,23.9,67.3,46.3,11.1,52.3,57.7,99.50,53.2
1209,DEN vs. WAS,02/25/2021,,L,48,110,37,85,43.5,15,38,39.5,21,24,87.5,12,32,44,23,18,6,7,20,-2,NOP @ MIL,02/25/2021,,L,48,121.4,125.2,-3.9,62.7,3.56,21.3,30.2,76.6,52.0,8.7,56.4,57.8,103.00,49.6
1210,LAC @ MEM,02/25/2021,,L,48,94,34,84,40.5,12,34,35.3,14,16,87.5,8,33,41,19,14,4,4,15,-28,DAL @ PHI,02/25/2021,,L,48,99.0,111.0,-12.0,53.1,0.77,13.5,23.9,75.9,52.0,22.4,49.4,55.0,99.00,41.4
1211,SAC @ NYK,02/25/2021,,L,48,121,42,85,49.4,12,35,34.3,25,33,75.8,8,26,34,25,16,12,0,22,-19,PHI vs. DAL,02/25/2021,,W,48,111.0,99.0,12.0,66.7,3.25,18.7,24.1,76.1,48.0,8.0,50.0,55.0,99.00,58.6
1212,ORL @ BKN,02/25/2021,,L,48,92,35,87,40.2,9,36,25.0,13,15,86.7,4,31,35,19,18,8,1,10,-37,SAC @ NYK,02/25/2021,,L,48,115.2,133.3,-18.1,59.5,1.56,17.9,21.7,75.0,45.1,15.2,56.5,60.8,105.00,42.4
1213,DAL @ PHI,02/25/2021,,L,48,97,32,78,41.0,13,34,38.2,20,23,87.0,10,40,50,17,22,2,9,21,-14,BKN vs. ORL,02/25/2021,,W,48,124.0,88.5,35.6,61.2,2.31,21.1,20.9,86.8,57.3,12.5,64.1,65.7,104.00,66.7
1214,MEM vs. LAC,02/25/2021,,W,48,122,50,92,54.3,11,19,57.9,11,16,68.8,7,41,48,27,7,7,1,17,28,NYK vs. SAC,02/25/2021,,W,48,133.3,115.2,18.1,47.1,1.50,17.4,25.0,78.3,54.9,15.2,69.5,72.7,105.00,57.6
1215,BKN vs. ORL,02/25/2021,,W,48,129,49,92,53.3,20,45,44.4,11,14,78.6,7,44,51,30,13,11,2,18,37,LAC @ MEM,02/25/2021,,L,48,94.9,124.5,-29.5,55.9,1.36,15.1,18.0,80.4,47.9,14.1,47.6,51.6,98.50,36.6
1216,PHI vs. DAL,02/25/2021,,W,48,111,39,90,43.3,12,29,41.4,21,25,84.0,8,31,39,26,8,11,6,19,14,DEN vs. WAS,02/25/2021,,L,48,110.0,113.1,-3.1,62.2,1.28,16.8,32.7,76.1,53.7,18.0,52.4,57.6,99.50,46.8
1217,MIL vs. NOP,02/25/2021,,W,48,129,52,96,54.2,13,31,41.9,12,16,75.0,8,34,42,21,9,4,8,13,4,MEM vs. LAC,02/25/2021,,W,48,124.5,94.9,29.5,54.0,3.86,20.1,19.6,82.0,52.1,7.1,60.3,61.6,98.50,63.4
1218,CHA @ PHX,02/24/2021,,W,48,124,43,88,48.9,13,36,36.1,25,27,92.6,9,37,46,24,14,8,5,21,3,MIA vs. TOR,02/24/2021,,W,48,124.7,117.4,7.3,83.8,2.82,22.5,31.8,84.6,56.6,11.8,56.9,62.5,92.50,54.5
1219,ATL vs. BOS,02/24/2021,,W,48,127,45,85,52.9,23,42,54.8,14,17,82.4,12,33,45,27,17,4,5,23,15,SAS @ OKC,02/24/2021,,L,48,100.0,103.0,-3.0,50.0,1.54,15.7,17.6,75.5,47.1,13.1,51.7,53.5,99.00,50.3
1220,BOS @ ATL,02/24/2021,,L,48,112,42,95,44.2,8,31,25.8,20,23,87.0,12,24,36,20,6,10,6,16,-15,ATL vs. BOS,02/24/2021,,W,48,132.3,115.5,16.8,60.0,1.59,19.7,35.0,70.9,55.8,17.7,66.5,68.7,96.50,54.6
1221,OKC vs. SAS,02/24/2021,,W,48,102,37,89,41.6,18,44,40.9,10,11,90.9,10,42,52,21,17,6,4,14,3,CHI vs. MIN,02/24/2021,,W,53,116.7,113.5,3.2,50.9,1.33,18.7,25.0,70.7,52.0,18.4,64.5,66.5,101.89,57.2
1222,DET @ NOP,02/24/2021,,L,48,118,47,89,52.8,13,36,36.1,11,16,68.8,9,29,38,31,13,8,6,23,-10,IND vs. GSW,02/24/2021,,L,48,100.9,103.7,-2.8,54.1,1.05,14.7,21.7,75.0,47.8,17.9,50.0,56.3,106.50,46.8
1223,GSW @ IND,02/24/2021,,W,48,111,39,83,47.0,5,26,19.2,28,31,90.3,8,33,41,27,18,10,4,25,4,DET @ NOP,02/24/2021,,L,48,118.0,128.0,-10.0,66.0,2.38,22.0,22.7,63.8,44.0,13.0,60.1,61.4,100.00,44.6
1224,UTA vs. LAL,02/24/2021,,W,48,114,41,87,47.1,22,48,45.8,10,15,66.7,14,39,53,28,12,7,1,16,25,HOU @ CLE,02/24/2021,,L,48,102.1,116.7,-14.5,50.0,2.57,14.8,17.9,60.0,36.6,7.4,45.6,49.2,95.00,40.8
1225,SAS @ OKC,02/24/2021,,L,48,99,40,86,46.5,9,25,36.0,10,15,66.7,6,38,44,20,13,10,4,13,-3,CLE vs. HOU,02/24/2021,,W,48,116.7,102.1,14.5,55.8,1.33,17.6,40.0,82.1,63.4,18.8,60.0,61.1,95.00,59.2
1226,LAL @ UTA,02/24/2021,,L,48,89,34,85,40.0,8,33,24.2,13,20,65.0,12,33,45,17,14,5,4,15,-25,LAL @ UTA,02/24/2021,,L,48,96.7,122.6,-25.8,50.0,1.21,13.6,28.6,68.0,47.2,15.2,44.7,47.4,92.50,35.8
1227,MIA vs. TOR,02/24/2021,,W,48,116,37,80,46.3,17,38,44.7,25,29,86.2,11,31,42,31,11,6,4,21,8,PHX vs. CHA,02/24/2021,,L,48,115.2,119.2,-4.0,59.1,1.86,18.4,20.8,78.7,49.5,13.3,58.6,61.2,104.50,47.4
1228,MIN @ CHI,02/24/2021,,L,53,126,47,104,45.2,12,38,31.6,20,21,95.2,13,28,41,28,17,11,4,24,-7,TOR @ MIA,02/24/2021,,L,48,117.4,124.7,-7.3,81.1,1.88,23.4,15.4,68.2,43.4,17.4,63.5,66.3,92.50,45.5
1229,IND vs. GSW,02/24/2021,,L,48,107,37,81,45.7,7,29,24.1,26,32,81.3,7,32,39,20,19,11,6,22,-4,BOS @ ATL,02/24/2021,,L,48,115.5,132.3,-16.8,47.6,3.33,15.0,29.1,65.0,44.2,6.2,48.4,53.3,96.50,45.4
1230,TOR @ MIA,02/24/2021,,L,48,108,37,74,50.0,20,44,45.5,14,17,82.4,3,29,32,30,16,5,3,25,-8,OKC vs. SAS,02/24/2021,,W,48,103.0,100.0,3.0,56.8,1.24,15.9,24.5,82.4,52.9,17.2,51.7,54.3,99.00,49.7
1231,CLE vs. HOU,02/24/2021,,W,48,112,43,85,50.6,16,36,44.4,10,15,66.7,11,44,55,24,18,4,10,20,16,UTA vs. LAL,02/24/2021,,W,48,122.6,96.7,25.8,68.3,2.33,20.6,32.0,71.4,52.8,12.9,59.8,60.9,92.50,64.2
1232,PHX vs. CHA,02/24/2021,,L,48,121,44,87,50.6,14,38,36.8,19,27,70.4,7,34,41,26,14,9,6,25,-3,GSW @ IND,02/24/2021,,W,48,103.7,100.9,2.8,69.2,1.50,18.6,25.0,78.3,52.2,16.8,50.0,57.4,106.50,53.2
1233,NOP vs. DET,02/24/2021,,W,48,128,50,90,55.6,10,23,43.5,18,29,62.1,12,33,45,31,13,10,6,10,10,NOP vs. DET,02/24/2021,,W,48,128.0,118.0,10.0,62.0,2.38,20.9,36.2,77.3,56.0,13.0,61.1,62.3,100.00,55.4
1234,HOU @ CLE,02/24/2021,,L,48,96,36,90,40.0,10,33,30.3,14,17,82.4,9,24,33,18,7,8,8,15,-16,CHA @ PHX,02/24/2021,,W,48,119.2,115.2,4.0,55.8,1.71,17.4,21.3,79.2,50.5,13.5,56.3,62.1,104.50,52.6
1235,CHI vs. MIN,02/24/2021,,W,53,133,55,93,59.1,10,25,40.0,13,16,81.3,7,36,43,28,21,11,5,15,7,MIN @ CHI,02/24/2021,,L,53,113.5,116.7,-3.2,59.6,1.65,17.9,29.3,75.0,48.0,15.3,51.0,55.6,101.89,42.8
1236,BKN vs. SAC,02/23/2021,,W,48,127,44,89,49.4,17,40,42.5,22,31,71.0,10,31,41,30,8,8,5,16,9,PHI @ TOR,02/23/2021,,W,48,111.2,103.0,8.2,72.7,1.26,17.5,31.3,77.8,55.9,19.4,51.9,58.5,98.50,51.9
1237,LAC vs. WAS,02/23/2021,,W,48,135,54,94,57.4,19,38,50.0,8,13,61.5,7,39,46,26,11,7,5,22,19,DAL vs. BOS,02/23/2021,,W,48,117.0,112.6,4.4,45.2,1.90,15.1,27.1,68.1,47.4,10.6,54.5,57.5,94.50,50.4
1238,WAS @ LAC,02/23/2021,,L,48,116,47,88,53.4,11,20,55.0,11,16,68.8,6,30,36,32,13,5,1,16,-19,WAS @ LAC,02/23/2021,,L,48,116.0,133.7,-17.7,68.1,2.46,23.2,13.3,73.8,42.5,13.0,59.7,61.0,100.50,45.2
1239,DET @ ORL,02/23/2021,,W,48,105,41,88,46.6,10,34,29.4,13,16,81.3,8,41,49,24,15,10,9,19,12,DEN vs. POR,02/23/2021,,W,48,122.0,115.2,6.8,62.5,25.00,19.4,24.1,76.1,48.0,1.1,50.0,54.5,91.50,53.4
1240,PHI @ TOR,02/23/2021,,W,48,109,33,80,41.3,17,38,44.7,26,30,86.7,12,42,54,24,19,5,8,15,7,MIL vs. MIN,02/23/2021,,W,48,131.1,105.7,25.5,62.3,4.13,22.1,20.4,80.4,52.4,7.5,63.6,65.0,106.00,60.1
1241,POR @ DEN,02/23/2021,,L,48,106,41,87,47.1,14,41,34.1,10,10,100,7,40,47,21,9,0,7,19,-5,CLE vs. ATL,02/23/2021,,W,48,117.9,116.8,1.1,68.3,1.75,21.2,24.3,64.2,47.8,16.8,62.2,64.8,95.00,54.0
1242,ORL vs. DET,02/23/2021,,L,48,93,33,88,37.5,14,38,36.8,13,22,59.1,10,38,48,25,12,9,6,16,-12,BKN vs. SAC,02/23/2021,,W,48,124.5,116.8,7.7,68.2,3.75,21.0,25.0,75.0,48.9,7.8,59.0,61.9,101.50,53.7
1243,BOS @ DAL,02/23/2021,,L,48,107,41,86,47.7,12,39,30.8,13,18,72.2,12,34,46,19,13,6,6,21,-3,POR @ DEN,02/23/2021,,L,48,115.2,122.0,-6.8,51.2,2.33,17.1,23.9,75.9,52.0,9.8,55.2,58.0,91.50,46.6
1244,NYK vs. GSW,02/23/2021,,L,48,106,38,97,39.2,11,29,37.9,19,22,86.4,18,38,56,22,15,4,5,23,-8,ATL @ CLE,02/23/2021,,L,48,116.8,117.9,-1.1,55.0,1.69,16.3,35.8,75.7,52.2,13.7,52.8,56.0,95.00,46.0
1245,CLE vs. ATL,02/23/2021,,W,48,112,41,78,52.6,15,28,53.6,15,19,78.9,7,29,36,28,16,7,10,19,1,SAC @ BKN,02/23/2021,,L,48,116.8,124.5,-7.7,55.6,1.67,18.4,25.0,75.0,51.1,14.9,60.3,61.9,101.50,46.3
1246,DEN vs. POR,02/23/2021,,W,48,111,40,94,42.6,14,36,38.9,17,18,94.4,10,30,40,25,1,8,3,10,5,NYK vs. GSW,02/23/2021,,L,48,105.0,114.0,-9.0,57.9,1.47,15.0,40.0,82.0,59.1,14.9,44.8,49.7,100.50,41.6
1247,MIN @ MIL,02/23/2021,,L,48,112,42,98,42.9,19,54,35.2,9,9,100,7,36,43,35,14,4,5,16,-27,ORL vs. DET,02/23/2021,,L,48,93.0,105.0,-12.0,75.8,2.08,18.2,21.1,77.6,47.2,12.0,45.5,47.6,100.00,43.7
1248,TOR vs. PHI,02/23/2021,,L,48,102,40,93,43.0,11,37,29.7,11,13,84.6,8,30,38,29,10,12,11,20,-7,TOR vs. PHI,02/23/2021,,L,48,103.0,111.2,-8.2,72.5,2.90,21.2,22.2,68.8,44.1,10.1,48.9,51.7,98.50,48.1
1249,SAC @ BKN,02/23/2021,,L,48,118,45,87,51.7,15,31,48.4,13,19,68.4,5,33,38,25,15,6,7,17,-9,BOS @ DAL,02/23/2021,,L,48,112.6,117.0,-4.4,46.3,1.46,14.7,31.9,72.9,52.6,13.7,54.7,57.0,94.50,49.6
1250,DAL vs. BOS,02/23/2021,,W,48,110,42,89,47.2,13,33,39.4,13,15,86.7,8,30,38,19,10,5,1,17,3,MIN @ MIL,02/23/2021,,L,48,105.7,131.1,-25.5,83.3,2.50,23.3,19.6,79.6,47.6,13.2,52.6,54.9,106.00,39.9
1251,ATL @ CLE,02/23/2021,,L,48,111,40,89,44.9,14,31,45.2,17,23,73.9,13,28,41,22,13,10,4,19,-1,LAC vs. WAS,02/23/2021,,W,48,133.7,116.0,17.7,48.1,2.36,18.8,26.2,86.7,57.5,10.9,67.6,67.7,100.50,54.8
1252,GSW @ NYK,02/23/2021,,W,48,114,40,89,44.9,13,38,34.2,21,24,87.5,7,34,41,30,10,9,8,18,8,GSW @ NYK,02/23/2021,,W,48,114.0,105.0,9.0,75.0,3.00,21.6,18.0,60.0,40.9,10.0,52.2,57.3,100.50,58.4
1253,MIL vs. MIN,02/23/2021,,W,48,139,53,99,53.5,20,42,47.6,13,18,72.2,9,43,52,33,8,11,5,13,27,DET @ ORL,02/23/2021,,W,48,105.0,93.0,12.0,58.5,1.60,17.8,22.4,78.9,52.8,15.0,52.3,55.2,100.00,56.3
1254,CHI @ HOU,02/22/2021,,W,48,120,49,91,53.8,15,36,41.7,7,10,70.0,8,47,55,24,12,5,5,17,20,MIA @ OKC,02/22/2021,,W,48,113.7,100.0,13.7,83.3,2.31,21.7,27.1,81.8,53.3,13.7,53.7,58.7,94.50,60.6
1255,OKC vs. MIA,02/22/2021,,L,48,94,32,74,43.2,14,39,35.9,16,19,84.2,5,33,38,20,18,6,1,24,-14,WAS @ LAL,02/22/2021,,W,53,109.5,108.8,0.7,53.2,1.56,16.1,26.9,75.0,52.7,13.8,53.6,57.5,104.15,53.4
1256,HOU vs. CHI,02/22/2021,,L,48,100,37,96,38.5,13,40,32.5,13,19,68.4,11,35,46,20,9,7,4,16,-20,CHI @ HOU,02/22/2021,,W,48,121.2,100.0,21.2,49.0,2.00,18.2,20.0,77.8,53.7,12.1,62.1,62.9,99.50,61.8
1257,CHA @ UTA,02/22/2021,,L,48,110,41,89,46.1,11,36,30.6,17,21,81.0,8,27,35,18,16,13,2,17,-22,HOU vs. CHI,02/22/2021,,L,48,100.0,121.2,-21.2,54.1,2.22,15.0,22.2,80.0,46.3,9.0,45.3,47.9,99.50,38.2
