,Match Up_x,Game Date_x,Season_x,W/L_x,MIN_x,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Match Up_y,Game Date_y,Season_y,W/L_y,MIN_y,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
50,GSW vs. NOP,05/14/2021,,W,48,125,42,87,48.3,17,39,43.6,24,30,80.0,8,38,46,29,12,4,4,21,3,UTA @ OKC,05/14/2021,,W,48,109.0,93.9,15.1,57.5,2.09,16.4,31.5,79.2,53.9,11.0,50.0,53.3,99.50,60.1
51,DAL vs. TOR,05/14/2021,,W,48,114,39,90,43.3,17,42,40.5,19,21,90.5,11,31,42,27,10,4,3,18,4,TOR @ DAL,05/14/2021,,L,48,111.1,116.3,-5.2,45.2,1.58,15.1,17.8,76.9,49.5,12.1,57.1,59.5,98.50,50.4
52,HOU vs. LAC,05/14/2021,,W,48,122,46,86,53.5,14,37,37.8,16,22,72.7,8,33,41,30,16,4,4,20,7,DEN @ DET,05/14/2021,,W,48,110.6,97.8,12.8,69.0,2.42,21.6,28.9,79.2,56.1,12.8,54.1,56.4,93.50,57.5
53,UTA @ OKC,05/14/2021,,W,48,109,40,93,43.0,13,39,33.3,16,21,76.2,17,36,53,23,11,9,3,17,16,ORL @ PHI,05/14/2021,,L,48,101.0,127.1,-26.0,63.6,1.62,16.0,26.4,70.0,47.6,13.5,45.8,50.9,96.00,38.2
54,DET vs. DEN,05/14/2021,,L,48,91,34,83,41.0,6,37,16.2,17,23,73.9,9,32,41,21,10,6,8,13,-13,NOP @ GSW,05/14/2021,,L,48,116.2,120.2,-4.0,45.7,2.33,14.7,29.3,81.6,53.3,8.6,52.0,54.8,104.50,46.2
55,ORL @ PHI,05/14/2021,,L,48,97,33,83,39.8,10,30,33.3,21,28,75.0,10,34,44,21,13,4,5,15,-25,PHI vs. ORL,05/14/2021,,W,48,127.1,101.0,26.0,79.5,3.89,24.0,30.0,73.6,52.4,9.4,55.9,60.2,96.00,61.8
56,OKC vs. UTA,05/14/2021,,L,48,93,36,84,42.9,6,19,31.6,15,16,93.8,10,35,45,13,17,6,2,20,-16,LAC @ HOU,05/14/2021,,L,48,112.7,120.8,-8.0,64.4,2.07,20.1,26.5,72.7,48.4,13.7,54.3,57.7,101.50,49.1
57,CLE @ WAS,05/14/2021,,L,48,105,39,84,46.4,10,36,27.8,17,21,81.0,7,37,44,24,17,4,3,21,-15,GSW vs. NOP,05/14/2021,,W,48,120.2,116.2,4.0,69.0,2.42,20.4,18.4,70.7,46.7,11.5,58.0,62.4,104.50,53.8
58,CHI vs. TOR,05/13/2021,,W,48,114,45,83,54.2,17,36,47.2,7,10,70.0,8,43,51,31,19,4,4,15,12,POR @ PHX,05/13/2021,,L,48,118.2,120.4,-2.2,52.3,1.77,18.0,15.4,70.8,46.0,13.1,63.6,65.8,98.50,51.1
59,ORL @ ATL,05/13/2021,,L,48,93,36,94,38.3,11,36,30.6,10,15,66.7,16,35,51,24,14,3,6,16,-23,IND vs. MIL,05/13/2021,,L,48,123.1,130.3,-7.1,68.0,4.25,21.3,29.5,70.2,47.2,7.4,55.0,57.0,108.50,41.8
