,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,Team,Opponent,Home,Date,Win,Minutes
88,115.0,39.0,78.0,50.0,11.0,32.0,34.4,26.0,26.0,100.0,9.0,40.0,49.0,25.0,18.0,10.0,4.0,17.0,19.0,114.7,107.7,7.0,63.4,1.53,18.8,22.7,65.3,45.2,16.7,57.2,61.9,103.0,49.5,LAC,TOR,0,05/11/2021,W,48.0
89,104.0,37.0,88.0,42.0,12.0,38.0,31.6,18.0,19.0,94.7,13.0,22.0,35.0,23.0,13.0,8.0,2.0,15.0,-29.0,109.5,140.0,-30.5,62.2,1.77,16.9,34.6,63.2,46.7,13.7,48.9,54.0,95.0,35.7,DAL,MEM,0,05/11/2021,L,48.0
90,100.0,35.0,75.0,46.7,10.0,23.0,43.5,20.0,26.0,76.9,6.0,40.0,46.0,21.0,28.0,8.0,5.0,23.0,-19.0,121.0,127.7,-6.7,67.4,2.82,22.5,15.2,83.8,45.8,11.0,62.5,63.4,100.5,46.5,DET,MIN,1,05/11/2021,L,48.0
91,122.0,44.0,86.0,51.2,19.0,39.0,48.7,15.0,19.0,78.9,6.0,34.0,40.0,28.0,16.0,13.0,6.0,21.0,16.0,101.1,109.6,-8.5,60.5,2.09,18.1,21.2,72.3,45.5,11.8,48.3,50.5,93.5,42.9,SAC,OKC,1,05/11/2021,W,48.0
92,129.0,48.0,81.0,59.3,16.0,30.0,53.3,17.0,22.0,77.3,6.0,37.0,43.0,25.0,14.0,7.0,4.0,21.0,8.0,92.6,110.2,-17.6,60.0,0.75,15.2,20.9,73.2,50.5,25.9,53.3,57.8,108.0,41.0,MIA,BOS,0,05/11/2021,W,48.0
93,103.0,37.0,83.0,44.6,14.0,41.0,34.1,15.0,16.0,93.8,7.0,38.0,45.0,28.0,14.0,7.0,6.0,15.0,9.0,123.4,132.6,-9.2,63.4,2.36,20.2,23.1,60.0,43.8,11.7,62.0,66.1,93.0,48.8,IND,PHI,1,05/11/2021,W,48.0
94,116.0,41.0,79.0,51.9,16.0,37.0,43.2,18.0,20.0,90.0,6.0,30.0,36.0,26.0,11.0,4.0,6.0,20.0,-6.0,101.9,118.4,-16.5,56.4,1.22,15.6,29.4,80.4,53.6,17.3,51.8,55.0,103.5,42.9,PHX,GSW,0,05/11/2021,L,48.0
95,122.0,47.0,95.0,49.5,11.0,40.0,27.5,17.0,20.0,85.0,12.0,28.0,40.0,33.0,10.0,8.0,1.0,20.0,6.0,127.7,121.0,6.7,52.1,1.79,18.9,16.2,84.8,54.2,13.9,69.1,71.1,100.5,53.5,GSW,PHX,1,05/11/2021,W,48.0
96,112.0,42.0,91.0,46.2,11.0,39.0,28.2,17.0,20.0,85.0,15.0,34.0,49.0,30.0,17.0,9.0,5.0,17.0,-5.0,119.8,99.0,20.8,64.1,1.39,18.9,28.2,79.2,57.6,18.8,57.1,64.3,96.5,62.8,CHA,DEN,1,05/11/2021,L,48.0
97,119.0,45.0,98.0,45.9,14.0,48.0,29.2,15.0,21.0,71.4,11.0,33.0,44.0,30.0,15.0,16.0,8.0,22.0,19.0,108.6,98.1,10.5,37.2,1.78,11.4,31.3,79.3,54.1,8.6,46.5,50.5,104.5,56.7,MIN,DET,0,05/11/2021,W,48.0
98,102.0,39.0,94.0,41.5,10.0,30.0,33.3,14.0,20.0,70.0,10.0,42.0,52.0,18.0,12.0,6.0,2.0,20.0,-12.0,132.6,123.4,9.2,70.2,3.3,22.8,40.0,76.9,56.2,10.9,55.3,58.8,93.0,51.2,ORL,MIL,0,05/11/2021,L,48.0
99,133.0,51.0,89.0,57.3,16.0,33.0,48.5,15.0,16.0,93.8,10.0,34.0,44.0,32.0,11.0,11.0,6.0,16.0,29.0,99.0,97.1,2.0,83.8,1.55,20.8,28.6,83.0,55.0,19.6,48.3,51.9,92.38,53.6,MEM,DAL,1,05/11/2021,W,48.0
