Date,Location,Team,OppTeam,TeamId,GameId,PercentBet_ML,Open_Line_ML,Pinnacle_ML,5dimes_ML,Heritage_ML,Bovada_ML,Betonline_ML,Average_Line_ML,Best_Line_ML,Worst_Line_ML,PercentBet_Spread,Open_Line_Spread,Open_Odds_Spread,Pinnacle_Line_Spread,Pinnacle_Odds_Spread,5dimes_Line_Spread,5dimes_Odds_Spread,Heritage_Line_Spread,Heritage_Odds_Spread,Bovada_Line_Spread,Bovada_Odds_Spread,Betonline_Line_Spread,Betonline_Odds_Spread,Average_Line_Spread,Average_Odds_Spread,Best_Line_Spread,Worst_Line_Spread,Best_Odds_Spread,Worst_Odds_Spread,PercentBet_OU,Open_Line_OU,Open_Odds_OU,Pinnacle_Line_OU,Pinnacle_Odds_OU,5dimes_Line_OU,5dimes_Odds_OU,Heritage_Line_OU,Heritage_Odds_OU,Bovada_Line_OU,Bovada_Odds_OU,Betonline_Line_OU,Betonline_Odds_OU,Average_Line_OU,Average_Odds_OU,Best_Line_OU,Worst_Line_OU,Best_Odds_OU,Worst_Odds_OU,Pts,Spread,Result,Total
2016-05-01,away,Charlotte,Miami,1610612766,0041500127,47.6,240,235,230,230,245.0,230,234.0,245.0,230.0,49.0,6.5,-110,6.0,-101,6.5,-110,6.0,-105,6.5,-110,6.0,-105,6.25,-106.83,6.5,6.0,-101,-110,44.9,191.0,-110,190.5,-107,190.5,-110,191.0,-105,191,-115,190.5,-110,190.75,-109.5,191.0,190.5,-105,-115,73,-33,L,179
2016-05-01,home,Miami,Charlotte,1610612748,0041500127,52.4,-285,-265,-270,-280,-290.0,-275,-276.0,-265.0,-290.0,51.0,-6.5,-110,-6.0,-109,-6.5,-110,-6.0,-105,-6.5,-110,-6.0,-115,-6.25,-109.83,-6.0,-6.5,-105,-115,55.1,191.0,-110,190.5,-103,190.5,-110,191.0,-105,191,-105,190.5,-110,190.75,-107.17,191.0,190.5,-103,-110,106,33,W,179
2016-05-01,away,Portland,Golden State,1610612757,0041500221,0.0,300,423,415,440,425.0,415,423.6,440.0,415.0,0.0,7.5,-105,9.5,-107,9.5,-110,9.5,-105,10.5,-115,9.5,-115,9.33,-109.5,10.5,7.5,-105,-115,0.0,211.0,-110,210.5,-105,210.5,-110,211.0,-105,211,-110,210.5,-110,210.75,-108.33,211.0,210.5,-105,-110,106,-12,L,224
2016-05-01,home,Golden State,Portland,1610612744,0041500221,100.0,-360,-500,-525,-565,-650.0,-510,-550.0,-500.0,-650.0,100.0,-7.5,-115,-9.5,-103,-9.5,-110,-9.5,-105,-10.5,-105,-9.5,-105,-9.33,-107.17,-7.5,-10.5,-103,-115,100.0,211.0,-110,210.5,-105,210.5,-110,211.0,-105,211,-110,210.5,-110,210.75,-108.33,211.0,210.5,-105,-110,118,12,W,224
2016-05-02,away,Atlanta,Cleveland,1610612737,0041500201,0.0,290,326,325,345,310.0,330,327.2,345.0,310.0,10.3,8.0,-110,8.0,-108,8.0,-110,8.0,-105,8.0,-105,8.0,-110,8.0,-108.0,8.0,8.0,-105,-110,0.0,200.0,-110,199.5,-107,199.5,-110,200.0,-105,200,-110,199.5,-110,199.75,-108.67,200.0,199.5,-105,-110,93,-11,L,197
2016-05-02,home,Cleveland,Atlanta,1610612739,0041500201,100.0,-350,-375,-400,-425,-420.0,-400,-404.0,-375.0,-425.0,89.7,-8.0,-110,-8.0,-102,-8.0,-110,-8.0,-105,-8.0,-115,-8.0,-110,-8.0,-108.67,-8.0,-8.0,-102,-115,100.0,200.0,-110,199.5,-103,199.5,-110,200.0,-105,200,-110,199.5,-110,199.75,-108.0,200.0,199.5,-103,-110,104,11,W,197
2016-05-02,away,Oklahoma City,San Antonio,1610612760,0041500232,31.5,280,264,305,315,350.0,300,306.8,350.0,264.0,32.0,7.0,-108,7.0,-113,7.5,-109,6.5,-105,8.5,-110,7.5,-115,7.33,-110.0,8.5,6.5,-105,-115,53.9,202.5,-110,199.5,-109,200.0,-105,200.0,-105,202,-105,200.0,-110,200.67,-107.33,202.5,199.5,-105,-110,98,1,W,195
2016-05-02,home,San Antonio,Oklahoma City,1610612759,0041500232,68.5,-335,-300,-335,-385,-500.0,-360,-376.0,-300.0,-500.0,68.0,-7.0,-112,-7.0,-102,-7.5,-101,-6.5,-105,-8.5,-110,-7.5,-105,-7.33,-105.83,-6.5,-8.5,-101,-112,46.1,202.5,-110,199.5,-101,200.0,-105,200.0,-105,202,-115,200.0,-110,200.67,-107.67,202.5,199.5,-101,-115,97,-1,L,195
2016-05-03,away,Miami,Toronto,1610612748,0041500211,60.5,170,147,145,150,135.0,140,143.4,150.0,135.0,52.0,4.5,-110,3.5,-102,3.5,-110,3.5,-105,4.0,-110,3.5,-110,3.75,-107.83,4.5,3.5,-102,-110,45.8,191.5,-110,192.0,-110,192.0,-110,192.5,-105,191,-115,192.0,-115,191.83,-110.83,192.5,191.0,-105,-115,102,6,W,198
2016-05-03,home,Toronto,Miami,1610612761,0041500211,39.5,-195,-163,-165,-170,-155.0,-160,-162.6,-155.0,-170.0,48.0,-4.5,-110,-3.5,-108,-3.5,-110,-3.5,-105,-4.0,-110,-3.5,-110,-3.75,-108.83,-3.5,-4.5,-105,-110,54.2,191.5,-110,192.0,-100,192.0,-110,192.5,-105,191,-105,192.0,-105,191.83,-105.83,192.5,191.0,-100,-110,96,-6,L,198
